,programTitle,infoCat,region,url,description,organization,contact,page
26,['Agriculture Water Demand Model'],['Guides/Information'],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/agricultural-land-and-environment/water/water-management/agriculture-water-demand-model'],['\nThe Agricultural Water Demand Model for the Okanagan Basin was developed to provide current and future agriculture water demands for the Okanagan Basin.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nAgriServiceBC@gov.bc.ca\n\n1-888-221-7141\n'],2
27,['Agriculture Wildlife Program'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/agriculture-insurance-and-income-protection-programs/crop-loss-damage-due-to-wildlife'],['\nAgriculture producers can get compensation due to wildlife damage to some harvested and unharvested crops by enrolling in the Agriculture Wildlife Program.\n'],['\nBritish Columbia Ministry of Agriculture\n'],"['\nAbbotsford\n1-604-556-3001\n1-888-221-7141\n', '\nCranbrook\n1-250-420-6203\n', '\nDawson Creek\n1-250-784-2236\n1-877-772-2200\n', '\nFt. St. John\n1-250-787-3240\n1-888-822-1345\n', '\nKamloops\n1-250-828-4506\n1-888-823-3355\n', '\nKelowna\n1-250-712-3797\n1-888-332-3352\n', '\nOliver\n1-250-498-5250\n1-888-812-8811\n', '\nWilliams Lake\n1-250-398-4500\n1-800-474-6133\n']",2
28,['Agriculture and Agri-Food Research Program'],[],[],['https://www.iti.gov.nt.ca/en/services/apply-agriculture-and-agri-food-research-program'],"['\nFunding research on new crops, production and processing techniques, value-added agri-food products and commercial forest products.\n']","['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext. 63107\n'],2
29,['Agriculture and Climate Change'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/environment/climate-change/agriculture-and-climate-change.html'],['\nProvides information on agriculture and climate change\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],2
30,"['Agriculture and Climate Change Policy: Financial Impacts of Carbon Pricing on Canadian Farms, 2018']",['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors/agriculture-and-climate-change-policy-financial-impacts-carbon-pricing-canadian-farms-2018'],['\nThis report is a scenario analysis done in 2018 on the financial impact of carbon pricing on the agriculture sector.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],2
31,['Agriculture and Food Education Online Learning System'],[],[],['https://www.agandfoodeducation.ca/'],['\nThe Agriculture and Food Education site provides a variety of free courses and resources that give producers and processors information they need to help their businesses grow. All courses are delivered online and are self-paced courses that can be completed on your own schedule.\nThe following courses are available for no cost:\n•Producer: Food Safety Foundations\n•Processor: Food Safety Foundations\n•The Basics of Traceability\n•Processor: Recall\n•Processor: Sanitation\n•Processor: Personnel\n•Producer: Water Use\n•Producer: Worker Practices\n•Producer: Maximizing your Traceability Investment\n•Processor: Profiting from Traceability\n•Growing Your Farm Profits\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nrcagfood@uoguelph.ca\n\n1-519-826-4047\n1-877-424-1300\n'],2
32,['Agriculture and Food Processing Development Program'],[],[],['http://www.iti.gov.nt.ca/en/services/agriculture-and-food-processing-development-program'],['\nFunding is provided to diversify and implement new technologies that increase productive capacity as well as support the development of value-added agri-products.\n'],"['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext. 63107\n'],2
33,['Agriculture and Food Sustainability Assurance Initiatives'],[],[],['https://cap.alberta.ca/CAP/program/PUBLIC_ASSURANCE'],"['\nProvides support to develop and enhance sustainability certification or assurance initiatives, as well as assistance in promoting the initiative to farmers and food processors.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],"['\n\nCAP.PublicTrust@gov.ab.ca\n\n', '\nAg-Info Centre\n1-403-742-7901\n310-3276\n']",2
34,['Agriculture and Food Trade Commissioner Service'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/agriculture-and-food-trade-commissioner-service'],['\nHelps Canadian businesses succeed in markets around the world.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.mas-sam.aac@canada.ca\n\n1-855-773-0241\n\nhttps://www.tradecommissioner.gc.ca/trade-commissioner-delegue-commercial/search-recherche.aspx?lang=eng\n\n'],2
35,['Agriculture and Food Trade Show Service'],[],[' Across Canada '],['https://agriculture.canada.ca/en/international-trade/trade-show-service'],"[""\nArranges and supports Canada's presence at eight international food, fish and seafood shows.\n""]",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.mas-sam.aac@agr.gc.ca\n\n1-613-773-2600\n1-855-773-0241\n'],2
36,['Agriculture and Forestry Decision-Making Tools'],[],[],['https://www.alberta.ca/agriculture-and-forestry-decision-making-tools.aspx'],['\nFarmers and forestry professionals can use online calculators or download software or worksheets to help with decision-making.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
37,['Agriculture and Value-Added Development Program'],[],[],['https://yukon.ca/en/agriculture-value-added-development-program'],['\nThe Agriculture and Value-Added Development Program helps commercial producers and processors take advantage of market opportunities.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n'],2
38,['Agriculture and Water'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/agriculture-and-water'],"['\nFarming practices to protect groundwater, ponds and watersheds quality.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.info.aac@agr.gc.ca\n\n1-855-773-0241\n'],2
39,['Agriculture and Water Quality'],['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/agriculture-and-water/watershed-protection/agriculture-and-water-quality'],['\nImplement beneficial management practices (BMPs) to minimize environmental risks.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],2
40,['Agriculture and the Environment'],[],[],['https://www.iti.gov.nt.ca/en/services/apply-agriculture-and-environment-program-funding'],['\nThe purpose of this program is to provide funding to support research specific to promoting environmental stewardship and conducting scientific analysis for the benefit of agriculture and the environment.\n'],"['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext. 63107\n'],2
41,['Agriculture in the Classroom'],[],[],['http://www.aitc.mb.ca/'],"['\nDelivers curriculum-based programs, activities and resources for teachers and their students to learn more about agriculture and the role it plays in Manitoba.\n']",['\nManitoba Agriculture and Resource Development\n'],['\n\ninfo@aitc.mb.ca\n\n1-204-487-4029\n\nhttps://www.aitc.mb.ca/contact\n\n'],2
42,['Agriculture in the Classroom Program'],[],[],['http://www.classroomagriculture.com/'],"['\nThe Classroom Agriculture Program was created to enhance students’ understanding of agriculture and where their food comes from, thereby fostering a greater respect for the industry and the individuals who make Alberta-based food production a reality.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\n\nhttps://classroomagriculture.com/Portal/Project/classroomagricultureprogram/pages/ContactUs.html#\n\n'],2
43,['Agriculture in the Classroom Saskatchewan'],[],[],['https://aitc.sk.ca/'],['\nEducates youth about agriculture through hands-on activities and programs.\n'],['\nAgriculture in the Classroom Saskatchewan\n'],"['\n1-306-933-5520\n\nprograms@aitc.sk.ca\n\n', '\nRR#4, Box 278, Site 412 Saskatoon, SK S7K 3J7\n']",2
44,['Agriculture on PEI'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/agriculture-pei'],['\nDescribes the main agriculture industries on Prince Edward Island.\n'],['\n               Prince Edward Island Department of Agriculture and Fisheries\n               \n            '],['\nAgriculture Information Desk\n\nDeptAgLand@gov.pe.ca\n\n1-902-368-4880\n1-866-734-3276\n'],2
45,['Agriculture statistics yearbook'],[],[],['https://open.alberta.ca/publications/1927-4106'],"['\nIndividual sections of the yearbook contain information on industry sectors such as crops, livestock, food and beverage, and agri-food exports.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
46,['Agriflora and Nursery Production'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/plants/agriflora/'],['\nAgriflora and Nursery Production information in Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2586\n1-709-637-2081\n'],2
47,['Agrifood Business Management'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/business-market-development/agrifood-business-management'],['\nHelping BC farmers learn and implement best practices for agricultural business growth.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n1-888-221-7141\n\nAgriServiceBC@gov.bc.ca\n\n'],2
48,['Agrivalue Processing Business Incubator (APBI)'],[],[],['https://www.alberta.ca/agrivalue-processing-business-Incubator.aspx'],['\nProvides infrastructure and services to support and enhance the establishment and growth of new companies and new business ventures in Alberta.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],"['\nAgrivalue Processing Business Incubator\n4301-65th Ave Leduc, AB T9E 8T2\n1-780-980-4250\n1-780-980-4244\n']",2
49,['Agriview'],[],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/sask-ag-now/agriview'],"[""\nThe Ministry of Agriculture's quarterly magazine for producers and the agricultural industry. Agriview is mailed to rural households in January, April, July and October. It features stories about agricultural programs, building public trust in modern agriculture, and research and technology transfer.\n""]",['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3727\n'],2
50,['Agriwebinar'],[],[' Across Canada '],['https://www.agriwebinar.com/'],['\nAgriwebinar provides farmers and agriculture professionals with access to topical and timely farm business management information from anywhere.\n'],['\nFarm Management Canada\n'],['\n\ninfo@fmc-gac.com\n\n1-800-270-8301\n613-237-9060\n1-888-232-3262\n'],2
51,['AgroClimatic Information Service (ACIS)'],[],[],['http://agriculture.alberta.ca/acis/'],"['\nInteractive tool to help producers, farm consultants and researchers access Alberta weather forecast, maps and climate related information and access near real time station weather data.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nRalph Wright\n\nralph.wright@gov.ab.ca\n\n1-780-427-3556\n'],2
52,['Agroclimate Impact Reporter'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/agroclimate-impact-reporter'],"['\nReports from our volunteer network help communicate current conditions and emerging risks to the agriculture sector, the federal government and many provincial and local government agencies.\n']",['\nAgriculture Agri-Food Canada\n'],['\n\naafc.info.aac@agr.gc.ca\n\n1-855-773-0241\n1-613-773-2600\n'],2
53,['Agroforestry'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/hort/agrofore.html'],['\nThis page contains information on Agroforestry\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],2
54,['Agroforestry'],['Guides/Information'],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/agricultural-land-and-environment/agroforestry'],['\nAgroforestry is a land management approach that\xa0purposefully integrates the growing of trees with crops or livestock.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\nLisa Zabek - Agroforestry Specialist\n\nLisa.Zabek@gov.bc.ca\n\n1-250-312-7277\n'],2
55,['Agronomy Guide for Field Crops'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/pub811/p811toc.html'],['\nThis publication is a comprehensive guide to field crop production.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],2
56,['Agtech Growth Fund (AGF)'],[],[],['https://innovationsask.ca/research/agf'],['\nThe Agtech Growth Fund (AGF) is a research and development (R&D) funding program designed to accelerate the commercialization of game-changing technological innovations in the province’s agricultural sector.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-933-7205\n\nkevin.chung@innovationsask.ca\n\n'],2
57,['Air Pollution Injury on Potatoes'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/91-015.htm'],['\nPotato plants can be injured when exposed to high concentrations of various air pollutants.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],2
58,['Air Quality'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/air_quality.htm'],['\nInformation on air quality.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],2
59,['Alberta Agricultural Products Marketing Council'],[],[],['https://www.alberta.ca/alberta-agricultural-products-marketing-council.aspx'],"['\nSupports governance, provides policy advice and administers legislation for the agricultural industry and government.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\n1-780-427-2164\n'],2
60,['Alberta Agricultural Societies Program'],[],[],['https://www.alberta.ca/alberta-agricultural-societies-program.aspx'],['\nEncourages improvement in agriculture and in the quality of life of persons living in an agricultural community.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\n\naf.agsocietygrants@gov.ab.ca\n\n1-780-963-4709\n1-780-968-3517\n'],2
61,"['Alberta Agriculture Catalogue of Publications, DVDs, CD-ROMs']",[],[],['https://www.agric.gov.ab.ca/app08/showpublications'],['\nProvides free publications to farmers and ranchers on a wide range of agricultural and horticultural practices.\n'],['\nAlberta Department of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
62,['Alberta Agriculture Hall of Fame'],[],[],['https://www.alberta.ca/alberta-agriculture-hall-of-fame.aspx'],['\nRecognizes individuals who have made a significant contribution to the agriculture and food industry and to the development and sustainability of rural life in Alberta.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nColin Gosselin\n\ncolin.gosselin@gov.ab.ca\n\n1-780-963-4709\n1-780-968-3518\n310-0000\n'],2
63,['Alberta Agriculture and Food Products and Services: Export Catalogue'],[],[],['https://open.alberta.ca/publications/alberta-agriculture-and-food-products-and-services-export-catalogue'],['\nFeatures agriculture products and services that Alberta exports internationally.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
64,['Alberta Angus Association'],[],[],['https://albertaangus.com/'],['\nPromotes red and black Angus cattle and breeders in Alberta.\n'],['\nAlberta Angus Association\n'],"['\nRR #2, New Norway, AB, T0B 3L0\n1-403-556-9057\n1-888-556-9057\n1-780-855-2581\n\nabangusoffice@gmail.com\n\n']",2
65,"[""Alberta Approved Farmers' Market""]",[],[],['https://www.alberta.ca/alberta-approved-farmers-markets.aspx'],"[""\nAccess information about the Alberta Approved Farmer's Market Program.\n""]",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],2
66,['Alberta Association of Agricultural Societies'],[],[],['http://albertaagsocieties.ca/'],['\nAdvocates for and provides resources for agricultural societies in Alberta.\n'],['\nAlberta Association of Agricultural Societies\n'],"['\n7000 - 113th Street, Suite 108, Edmonton, AB, T6H 5T6\n1-780-427-2174\n1-780-422-1613\n']",2
67,['Alberta Barley'],[],[],['https://www.albertabarley.com/'],['\nTo advance the interests of Alberta barley farmers through leadership and investment in innovation and development.\n'],['\nAlberta Barley\n'],"['\n#200, 6815 – 8th Street NE, Calgary, AB, T2E 7H7\n1-403-291-9111\n1-800-265-9111\n1-403-291-0190\n\nbarleyinfo@albertabarley.com\n\n']",2
68,['Alberta Beekeepers Commission'],[],[],['https://www.albertabeekeepers.ca/'],"[""\nRepresents and promotes the interests of Alberta's beekeepers.\n""]",['\nAlberta Beekeepers Commission\n'],"['\n11434-168 Street #102, Edmonton, AB, T5M 3T9\n1-780-489-6949\n\njules.ham@albertabeekeepers.ca\n\n']",2
69,['Alberta Beekeepers Stock Replacement'],[],[],['https://cap.alberta.ca/CAP/program/BEES'],['\nThe program will provide a grant to eligible applicants to assist with the costs for having to purchase replacement stock from Domestic sources as a result of COVID-19.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],"['\n\nCAP.RiskManagement@gov.ab.ca\n\n1-780-427-5921\n1-403-742-7901\n310-3276\n', '\nTanya Warren\n1-780-643-9486\n\ntanya.warren@gov.ab.ca\n\n']",2
70,['Alberta Cattle Feeders Association'],[],[],['https://www.cattlefeeders.ca/'],['\nRepresents the interests of the cattle feeding industry in Alberta.\n'],['\nAlberta Cattle Feeders Association\n'],"['\n6-11010 46 Street SE, Calgary, AB, T2C 1G4\n\ninfo@cattlefeeders.ca\n\n1-403-209-3255\n1-403-250-2509\n1-800-363-8598\n']",2
71,['Alberta Chicken Producers'],[],[],['https://www.chicken.ab.ca/'],['\nRepresents regulated broiler chicken producers in Alberta.\n'],['\nAlberta Chicken Producers\n'],"['\n2518 Ellwood Drive SW, Edmonton, AB, T6X 0A9\n1-780-488-2125\n1-877-822-4425\n1-780-488-3570\n\nabcp@chicken.ab.ca\n\n\nhttps://chicken.ab.ca/about-us/#contact\n\n']",2
